season,contestant,age,dob,hometown,LOW,WIN,HIGH,BTM,SAFE,OUT,total_mcwins,total_mc,avg_rank,season_winner
S07,JASMINE MASTERS,37,1977-10-16,"Los Angeles, California",1,0,0,1,1,10,0,9,12,0
S07,SASHA BELLE,28,1986-03-19,"Iowa City, Iowa",1,0,0,1,0,11,0,9,13,0
S07,TEMPEST DUJOUR,46,1967-09-01,"Tucson, Arizona",0,0,0,1,0,12,0,9,14,0
S08,BOB THE DRAG QUEEN,29,1986-06-22,"Brooklyn, New York",0,5,0,1,4,0,1,6,1,1
S08,KIM CHI,27,1987-08-08,"Chicago, Illinois",1,3,2,0,4,0,0,6,2,0
S08,NAOMI SMALLS,21,1993-09-08,"Redlands, California",0,2,4,1,3,0,1,6,2,0
S08,CHI CHI DEVAYNE,30,1985-09-24,"Shreveport, Louisiana",1,1,1,3,3,1,2,6,4,0
S08,DERRICK BARRY,32,1983-07-18,"Las Vegas, Nevada",2,1,2,2,1,2,1,6,5,0
S08,THORGY THOR,31,1984-05-25,"Brooklyn, New York",0,0,3,1,3,3,0,6,6,0
S08,ROBBIE TURNER,33,1982-07-27,"Seattle, Washington",2,1,0,2,1,4,1,6,7,0
S08,ACID BETTY,37,1977-12-10,"Brooklyn, New York",0,0,3,1,1,5,0,6,8,0
S08,NAYSHA LOPEZ,31,1985-06-20,"Chicago, Illinois",0,0,0,2,1,7,0,6,9,0
S08,CYNTHIA LEE FONTAINE,34,1981-02-16,"Austin, Texas",0,0,0,3,5,14,1,6,10,0
S09,CYNTHIA LEE FONTAINE,34,1981-02-16,"Austin, Texas",0,0,0,3,5,14,1,2,10,0
S08,DAX EXCLAMATIONPOINT,31,1984-07-29,"Savannah, Georgia",0,0,0,1,1,8,0,6,11,0
S08,LAILA MCQUEEN,22,1983-06-22,"Gloucester, Massachusetts",0,0,0,2,0,8,0,6,11,0
S09,SASHA VELOUR,29,1987-06-25,"Brooklyn, New York",1,3,5,0,3,0,1,2,1,1
S09,PEPPERMINT,37,1980-01-31,"New York, New York",1,1,4,2,3,0,0,2,2,0
S09,SHEA COULE,27,1989-02-08,"Chicago, Illinois",0,4,3,1,3,0,0,2,3,0
S09,TRINITY TAYLOR,31,1984-12-10,"Orlando, Florida",2,3,2,1,3,0,0,2,3,0
S09,ALEXIS MICHELLE,33,1984-10-16,"New York, New York",2,1,1,2,5,1,0,2,5,0
S09,NINA BONINA BROWN,34,1982-07-12,"Atlanta, Georgia",1,1,2,3,3,2,0,2,6,0
S09,VALENTINA,25,1991-05-14,"Los Angeles, California",0,1,2,1,5,3,1,2,7,0
S09,FARRAH MOAN,23,1993-09-11,"Las Vegas, Nevada",2,0,0,2,4,4,0,2,8,0
S09,AJA,22,1994-01-04,"Brooklyn, New York",0,0,0,2,5,5,0,2,9,0
S09,EUREKA OHARA,25,1990-08-26,"Johnson City, Tennessee",0,2,6,2,5,7,2,2,6.5,0
S10,EUREKA OHARA,27,1990-08-26,"Johnson City, Tennessee",0,2,6,2,5,7,2,11,6.5,0
S09,CHARLIE HIDES,52,1964-07-12,"London, UK/ Boston, Massachusetts",1,0,0,1,2,8,0,2,12,0
S09,KIMORA BLAC,28,1988-12-15,"Las Vegas, Nevada",0,0,0,2,1,9,0,2,13,0
S09,JAYMES MANSFIELD,26,1990-02-19,"Madison, Wisconsin",0,0,0,1,1,10,0,2,14,0
S10,AQUARIA,21,1996-02-12,"Brooklyn, New York",2,4,1,0,5,0,2,11,1,1
S10,KAMERON MICHAELS,31,1986-07-23,"Nashville, Tennessee",1,1,2,3,4,0,0,11,2,0
S10,ASIA OHARA,35,1982-07-07,"Dallas, Texas",2,2,3,1,3,0,4,11,4,0
S10,MIZ CRACKER,33,1984-04-19,"Harlem, New York",2,1,3,1,4,1,0,11,5,0
S10,MONT X CHANGE,31,1990-03-23,"The Bronx, New York",0,0,4,3,3,2,2,11,6,0
S10,THE VIXEN,26,1990-12-11,"Chicago, Illinois",1,1,0,3,3,4,2,11,7,0
S10,MONIQUE HEART,27,1986-05-22,"Kansas City, Missouri",1,0,1,1,4,5,1,11,8,0
S10,BLAIR ST CLAIR,22,1995-05-16,"Indianapolis, Indiana",0,0,2,1,3,6,1,11,9,0
S10,MAYHEM MILLER,35,1982-02-09,"Riverside, California",0,1,0,2,2,7,0,11,10,0
S10,DUSTY RAY BOTTOMS,29,1987-09-27,"New York, New York",1,0,1,1,1,8,0,11,11,0
S10,YUHUA HAMASAKI,27,1990-03-01,"New York, New York",0,0,1,1,1,9,0,11,12,0
S10,KALORIE KARBDASHIAN WILLIAMS,27,1990-05-23,"Albuquerque, New Mexico",0,0,0,2,0,10,0,11,13,0
S10,VANESSA VANJIE MATEO,25,1991-10-03,"Tampa, Florida",2,0,3,4,4,11,1,11,9.153846154,0
S11,VANESSA VANJIE MATEO,26,1991-10-03,"Tampa, Florida",2,0,3,4,4,11,1,11,9.153846154,0
S11,YVIE ODDLY,24,1993-08-22,"Denver, Colorado",1,2,3,1,6,0,0,11,1,1
S11,BROOKE LYNN HYTES,32,1986-03-10,"Toronto, Ontario, Canada",1,3,4,2,2,0,3,11,2,0
S11,AKERIA C DAVENPORT,30,1988-03-01,"Dallas, Texas",0,2,2,2,6,0,0,11,3,0
S11,SILKY NUTMEG GANACHE,28,1990-12-30,"Moss Point, Mississippi",2,2,1,1,6,0,3,11,3,0
S11,NINA WEST,39,1979-08-04,"Greentown, Ohio",3,2,1,1,4,1,2,11,6,0
S11,SHUGA CAIN,40,1977-11-20,"Magalia, California",1,0,2,3,4,2,1,11,7,0
S11,PLASTIQUE TIARA,21,1997-04-11,"Dallas, Texas",0,1,4,2,2,3,1,11,8,0
S11,RAJAH OHARA,33,1985-12-31,"Dallas, Texas",0,0,0,4,3,5,2,11,9,0
S11,SCARLET ENVY,26,1992-02-26,"Louisville, Kentucky",0,1,0,2,3,6,1,11,10,0
S11,ARIEL VERSACE,26,1992-04-13,"Cherry Hill, New Jersey",1,0,0,1,3,7,0,11,11,0
S11,MERCEDES IMAN DIAMOND,30,1986-12-12,"Minneapolis, Minnesota",1,0,0,2,1,8,0,11,11,0
S11,HONEY DAVENPORT,32,1986-08-13,"Philadelphia, Pennsylvania",0,0,0,1,2,9,0,11,13,0
S11,KAHANNA MONTRESE,25,1993-03-25,"Las Vegas, Nevada",0,0,0,2,0,10,0,11,14,0
S11,SOJU,27,1991-05-08,"Chicago, Illinois",0,0,0,1,0,11,0,11,15,0
S12,CRYSTAL METHYD,28,1991-04-16,"Springfield, Missouri",2,1,4,1,3,1,0,5,2,0
S12,GIGI GOODE,21,1997-12-02,"Los Angeles, California",2,4,1,0,3,1,4,5,2,0
S12,JAIDA ESSENCE HALL,32,1986-12-09,"Milwaukee, Wisconsin",0,4,2,1,5,1,0,5,1,1
S12,SHERRY PIE,27,1991-11-14,"New York, New York",1,2,2,0,5,2,0,5,,0
S12,JACKIE COX,34,1985-04-10,"New York, New York",1,0,6,3,1,3,3,5,4,0
S12,HEIDI N CLOSET,24,1984-09-29,"Ramseur, North Carolina",1,1,2,4,2,4,0,5,5,0
S12,WIDOW VONDU,30,1989-04-17,"Kansas City, Missouri",0,1,1,2,4,6,0,5,6,0
S12,JAN,26,1993-06-11,"New York, New York",0,0,3,1,3,7,0,5,7,0
S12,BRITA,34,1985-09-16,"New York, New York",1,0,1,3,1,8,0,5,8,0
S12,AIDEN ZHANE,29,1990-07-16,"Acworth, Georgia",1,0,2,1,1,9,0,5,9,0
S12,NICKY DOLL,28,1991-03-14,"New York, New York",1,0,1,2,0,10,1,5,10,0
S12,ROCK M SAKURA,28,1990-10-15,"San Francisco, California",1,0,0,1,1,11,0,5,11,0
S12,DAHLIA SIN,28,1991-05-13,"Los Angeles, California",1,0,0,1,0,12,0,5,12,0
S13,SYMONE,25,1995-01-15,"Conway, Arkansas",0,6,2,2,3,1,0,6,1,1
S13,KANDY MUSE,25,1994-11-03,"New York, New York",0,2,4,3,3,1,2,6,2,0
S13,GOTTMIK,23,1996-08-19,"Scottsdale, Arizona",1,3,4,0,4,1,1,6,3,0
S13,ROS,31,1989-05-26,"New York, New York",1,3,4,0,2,1,1,6,3,0
S13,OLIVIA LUX,26,1994-03-14,"New York, New York",2,3,0,2,4,3,0,6,5,0
S13,UTICA QUEEN,25,1995-06-02,"Minneapolis, Minnesota",2,1,1,3,3,4,0,6,6,0
S13,TINA BURNER,39,1980-11-10,"New York, New York",2,1,1,1,5,6,1,6,7,0
S13,DENALI,28,1992-04-01,"Chicago, Illinois",0,1,2,2,3,7,0,6,8,0
S13,ELLIOTT WITH 2 TS,26,1993-07-30,"Las Vegas, Nevada",0,0,1,2,4,8,1,6,9,0
S13,LALA RI,30,1990-08-28,"Atlanta, Georgia",1,1,0,2,2,10,1,6,10,0
S13,TAMISHA IMAN,49,1970-10-16,"Atlanta, Georgia",1,0,0,1,2,11,1,6,11,0
S13,JOEY JAY,30,1990-08-14,"Phoenix, Arizona",0,0,0,1,2,12,0,6,12,0
S13,KAHMORA HALL,28,1991-09-13,"Chicago, Illinois",0,0,0,1,1,13,0,6,13,0
S14,WILLOW PILL,26,1995-01-22,"Denver, Colorado",0,1,0,2,9,1,2,6,1,1
S14,LADY CAMDEN,31,1990-08-09,"San Francisco, California",0,3,0,1,8,1,1,6,2,0
S14,ANGERIA PARIS VANMICHEALS,27,1993-07-25,"Atlanta, Georgia",0,2,0,2,8,1,1,6,3,0
S14,BOSCO,28,1993-06-11,"Seattle, Washington",0,3,0,1,7,1,3,6,3,0
S14,DAYA BETTY,25,1996-02-19,"Springfield, Missouri",0,1,0,3,7,1,1,6,3,0
S14,DEJA SKYE,31,1990-04-22,"Fresno, California",0,1,0,2,9,2,0,6,6,0
S14,JORGEOUS,21,1999-11-27,"Nashville, Tennessee",0,1,0,5,5,2,0,6,6,0
S14,JASMINE KENNEDIE,22,1999-05-22,"New York, New York",0,0,0,5,5,4,0,6,8,0
S14,KERRI COLBY,24,1996-07-30,"Los Angeles, California",0,0,0,2,5,7,1,6,9,0
S14,MADDY MORPHOSIS,26,1994-09-02,"Fayetteville, Arkansas",0,0,0,2,3,9,0,6,10,0
S14,ORION STORY,25,1996-06-25,"Grand Rapids, Michigan",0,0,0,2,2,10,0,6,11,0
S14,KORNBREAD THE SNACK JETE,29,1992-01-14,"Los Angeles, California",0,1,0,0,2,10,0,6,12,0
S14,ALYSSA HUNTER,26,1995-02-19,"Catano, Puerto Rico",0,0,0,1,2,11,0,6,13,0
S14,JUNE JAMBALAYA,29,0,"Los Angeles, California",0,0,0,2,0,12,0,6,14,0
